Title,Author(s),Published Year,Editions,Avg. Rating,Num. of Ratings
The Business School For People Who Like Helping People,['Robert T. Kiyosaki'],2001,62,4.20,"4,808"
What You Do Is Who You Are: How to Create Your Business Culture,['Ben Horowitz'],2019,11,4.06,"3,444"
Profit First: A Simple System To Transform Any Business From A Cash-Eating Monster To A Money-Making Machine,['Mike Michalowicz'],2014,24,4.33,"4,359"
Business @ the Speed of Thought: Succeeding in the Digital Economy,"['Bill  Gates', 'Collins Hemingway']",1999,57,3.83,"3,807"
"Linked: How Everything Is Connected to Everything Else and What It Means for Business, Science, and Everyday Life",['Albert-László Barabási'],2002,28,3.94,"4,551"
Unfinished Business,['Nora Roberts'],1992,49,3.80,"4,918"
Conscious Capitalism: Liberating the Heroic Spirit of Business,"['John E. Mackey', 'Raj Sisodia', 'Bill George']",2012,20,3.87,"2,387"
The Halo Effect: ... and the Eight Other Business Delusions That Deceive Managers,['Philip M. Rosenzweig'],2007,24,3.94,"4,542"
Steve Jobs: 50 Life and Business Lessons from Steve Jobs,['George Ilian'],2015,2,4.11,"2,193"
HBR'S 10 Must Reads: The Essentials,"['Harvard Business School Press', 'Michael Overdorf', 'Thomas H. Davenport']",2010,14,4.03,961
Storytelling with Data: A Data Visualization Guide for Business Professionals,['Cole Nussbaumer Knaflic'],2015,17,4.39,"2,839"
Sell or Be Sold: How to Get Your Way in Business and in Life,['Grant Cardone'],2008,20,4.21,"3,830"
"Thinking Strategically: The Competitive Edge in Business, Politics, and Everyday Life","['Avinash K. Dixit', 'Barry J. Nalebuff']",1991,17,3.96,"2,724"
"Fatal Invention: How Science, Politics, and Big Business Re-create Race in the Twenty-First Century",['Dorothy Roberts'],2011,8,4.38,683
"Applied Mathematics for Business, Economics, and the Social Sciences",['Frank S. Budnick'],1979,13,4.09,952
"Blockchain Revolution: How the Technology Behind Bitcoin Is Changing Money, Business, and the World","['Don Tapscott', 'Alex Tapscott']",2016,11,3.37,"3,214"
"Unfinished Business: Women, Men, Work, Family",['Anne-Marie Slaughter'],2015,26,3.92,"2,819"
Guerrilla Marketing: Easy and Inexpensive Strategies for Making Big Profits from Your Small Business,"['Jay Conrad Levinson', 'Jeannie Levinson', 'Amy Levinson']",1984,34,3.92,"4,867"
Setting the Table: The Transforming Power of Hospitality in Business,['Danny Meyer'],2006,17,4.09,"4,354"
The Search: How Google and Its Rivals Rewrote the Rules of Business and Transformed Our Culture,['John Battelle'],2005,26,3.84,"5,116"
"Small Is the New Big: and 183 Other Riffs, Rants, and Remarkable Business Ideas",['Seth Godin'],2006,21,3.86,"3,858"
HBR's 10 Must Reads on Managing People,['Harvard Business School Press'],2010,17,4.02,962
"How to Win at the Sport of Business: If I Can Do It, You Can Do It",['Mark Cuban'],2011,14,4.06,"5,609"
Business Model You: A One-Page Method for Reinventing Your Career,"['Tim  Clark', 'Alexander Osterwalder', 'Yves Pigneur']",2012,38,4.10,"3,312"
The Art of Strategy: A Game Theorist's Guide to Success in Business and Life,"['Avinash K. Dixit', 'Barry J. Nalebuff']",1991,25,3.88,"2,357"
Legacy: What the All Blacks Can Teach Us About the Business of Life,['James Kerr'],2013,15,4.22,"4,583"
What They Don't Teach You at Harvard Business School: Notes from a Street-Smart Executive,['Mark H. McCormack'],1984,27,3.65,"2,889"
Data Science for Business: What you need to know about data mining and data-analytic thinking,"['Foster Provost', 'Tom Fawcett']",2013,14,4.16,"1,722"
"Death Is a Lonely Business (Crumley Mysteries, #1)",['Ray Bradbury'],1985,65,3.78,"4,421"
"How to Measure Anything: Finding the Value of ""Intangibles"" in Business",['Douglas W. Hubbard'],1985,5,3.97,"2,208"
Creating a World Without Poverty: Social Business and the Future of Capitalism,"['Muhammad Yunus', 'Karl Weber']",1999,41,3.96,"2,906"
Monkey Business: Swinging Through the Wall Street Jungle,"['John Rolfe', 'Peter Troob']",2000,2,3.95,"4,853"
"Necessary Endings: The Employees, Businesses, and Relationships That All of Us Have to Give Up in Order to Move Forward",['Henry Cloud'],2011,10,4.28,"2,968"
The New Business Road Test: What Entrepreneurs and Executives Should Do Before Writing a Business Plan,['John W. Mullins'],2003,7,3.91,"5,213"
The Unwritten Laws of Business,"['W.J. King', 'James G. Skakoon']",2001,23,3.98,"4,988"
Dolly: My Life and Other Unfinished Business,['Dolly Parton'],1994,7,4.10,"3,029"
The Business,['Iain Banks'],1999,28,3.48,"6,133"
The Ten-Day MBA : A Step-By-Step Guide To Mastering The Skills Taught In America's Top Business Schools,['Steven Silbiger'],1993,24,3.74,"2,148"
Mind is your Business,['Sadhguru'],2013,2,4.27,"2,860"
Predictable Revenue: Turn Your Business Into a Sales Machine with the $100 Million Best Practices of Salesforce.com,"['Aaron Ross', 'Marylou Tyler']",2011,9,4.04,"3,366"
Kanban: Successful Evolutionary Change for Your Technology Business,['David J. Anderson'],2010,10,3.98,"2,941"
Learn to Earn: A Beginner's Guide to the Basics of Investing and Business,"['Peter Lynch', 'John Rothchild']",1995,17,4.01,"2,660"
Conscious Business: How to Build Value Through Values,['Fred Kofman'],2005,16,4.21,"1,199"
Reengineering the Corporation: A Manifesto for Business Revolution,"['Michael Hammer', 'James Champy']",1993,25,3.72,"4,732"
Company of One: Why Staying Small Is the Next Big Thing for Business,['Paul Jarvis'],2019,1,3.96,"1,917"
The Velvet Rope Economy: How Inequality Became Big Business,['Nelson D. Schwartz'],2020,9,4.07,397
"Launch: An Internet Millionaire's Secret Formula to Sell Almost Anything Online, Build a Business You Love, and Live the Life of Your Dreams",['Jeff Walker'],2014,17,4.05,"2,426"
Getting Naked: A Business Fable about Shedding the Three Fears That Sabotage Client Loyalty,['Patrick Lencioni'],2002,11,4.26,"3,697"
"The Wisdom of Whores: Bureaucrats, Brothels, and the Business of AIDS",['Elizabeth Pisani'],2008,17,4.13,"2,726"
The Family Business,"['Carl Weber', 'Eric Pete']",2012,14,4.44,"3,796"
Making It All Work: Winning at the Game of Work and Business of Life,['David    Allen'],2003,36,3.91,"2,856"
"Bad Business (Spenser, #31)",['Robert B. Parker'],2001,29,3.84,"4,972"
"Content Rules: How to Create Killer Blogs, Podcasts, Videos, eBooks, Webinars (and More) That Engage Customers and Ignite Your Business","['Ann Handley', 'C.C. Chapman', 'David Meerman Scott']",2010,25,3.92,"3,513"
Like a Virgin: Secrets They Won't Teach You at Business School,['Richard Branson'],2012,24,3.78,"2,678"
Monkey Business,['Sarah Mlynowski'],2004,3,3.67,"3,422"
Rich Dad's Before You Quit Your Job: 10 Real-Life Lessons Every Entrepreneur Should Know About Building a Multimillion-Dollar Business,"['Robert T. Kiyosaki', 'Sharon L. Lechter']",2005,51,4.09,"2,938"
Get Over Your Damn Self: The No-BS Blueprint to Building A Life-Changing Business,['Romi Neustadt'],2016,4,4.14,"1,632"
The Firm: The Story of McKinsey and Its Secret Influence on American Business,['Duff McDonald'],2013,3,3.76,"2,468"
Tricky Business,['Dave Barry'],2002,6,3.70,"4,158"
HBR's 10 Must Reads on Change Management,"['Harvard Business School Press', 'John P. Kotter']",2015,15,3.90,786
7 Strategies for Wealth & Happiness: Power Ideas from America's Foremost Business Philosopher,['Jim Rohn'],1383,22,4.50,"2,022"
"Fatale, Vol. 2: The Devil's Business","['Ed Brubaker', 'Sean Phillips', 'Dave    Stewart']",2013,14,3.98,"4,579"
"HBR's 10 Must Reads on Mental Toughness (with bonus interview ""Post-Traumatic Growth and Building Resilience"" with Martin Seligman) (HBR's 10 Must Reads)",['Harvard Business Review'],2017,4,4.05,601
"The New Digital Age: Reshaping the Future of People, Nations and Business","['Eric Schmidt', 'Jared Cohen']",2013,35,3.34,"2,435"
Think BIG and Kick Ass in Business and Life,"['Donald J. Trump', 'Bill Zanker']",2007,43,3.83,"3,134"
The Harvard Business Review Manager's Handbook: The 17 Skills Leaders Need to Stand Out,['Harvard Business Review'],2016,10,4.14,338
Other People's Money: The Real Business of Finance,['John Kay'],2015,16,3.96,"1,143"
We the Corporations: How American Businesses Won Their Civil Rights,['Adam Winkler'],2018,8,4.13,875
The Design of Business: Why Design Thinking is the Next Competitive Advantage,['Roger L. Martin'],2009,5,3.95,"1,781"
"Riskier Business (Crossing the Line, #0.5)",['Tessa Bailey'],2015,3,3.92,"2,128"
Duct Tape Marketing: The World's Most Practical Small Business Marketing Guide,['John Jantsch'],2006,17,3.94,"2,758"
The One Minute Entrepreneur: The Secret to Creating and Sustaining a Successful Business,"['Kenneth H. Blanchard', 'Don Hutson', 'Ethan Willis']",2008,17,4.01,"2,493"
The Mom Test: How to talk to customers & learn if your business is a good idea when everyone is lying to you,['Rob  Fitzpatrick'],2013,19,4.45,"3,208"
Ask: The Counterintuitive Online Formula to Discover Exactly What Your Customers Want to Buy...Create a Mass of Raving Fans...and Take Any Business to the Next Level,['Ryan Levesque'],2015,9,3.72,"1,745"
HBR's 10 Must Reads on Communication,['Harvard Business School Press'],2013,8,3.86,550
The Rules of Work: The Unspoken Truth about Getting Ahead in Business,['Richard Templar'],2002,32,3.72,"2,664"
"Boston Jacky: Being an Account of the Further Adventures of Jacky Faber, Taking Care of Business (Bloody Jack, #11)",['L.A. Meyer'],2013,3,4.05,"2,431"
Going Home: Unfinished Business / Island of Flowers / Mind over Matter,['Nora Roberts'],1992,9,3.85,"2,661"
The Experience Economy: Work Is Theater & Every Business a Stage,"['B. Joseph Pine II', 'James H. Gilmore']",1999,23,3.82,"2,091"
"The Future Is Faster Than You Think: How Converging Technologies Are Transforming Business, Industries, and Our Lives","['Peter H. Diamandis', 'Steven Kotler']",0,7,4.27,"1,341"
"Learn Better: Mastering the Skills for Success in Life, Business, and School, or, How to Become an Expert in Just About Anything",['Ulrich Boser'],2017,11,3.87,737
Funny Business,"['Jon Scieszka', 'Mac Barnett', 'Adam Rex']",2010,9,3.76,"2,469"
"Supercapitalism: The Transformation of Business, Democracy, and Everyday Life",['Robert B. Reich'],2007,25,3.99,"1,840"
The Referral Engine: Teaching Your Business to Market Itself,['John Jantsch'],2010,15,3.87,"1,678"
The Pumpkin Plan: A Simple Strategy to Grow a Remarkable Business in Any Field,['Mike Michalowicz'],2012,12,4.21,"1,691"
Crowdsourcing: Why the Power of the Crowd Is Driving the Future of Business,['Jeff   Howe'],2008,15,3.84,"2,183"
The Family Business 2,"['Carl Weber', 'Treasure Hernandez']",2013,8,4.48,"2,285"
Let My People Go Surfing: The Education of a Reluctant Businessman,['Yvon Chouinard'],2005,23,4.23,"2,017"
Traction: Get a Grip on Your Business,['Gino Wickman'],2007,14,4.18,"4,855"
Socialnomics: How Social Media Transforms the Way We Live and Do Business,['Erik Qualman'],2009,26,3.83,"2,703"
Dangerous: Risky Business / Storm Warning / The Welcoming,['Nora Roberts'],1989,7,3.89,"2,436"
Risky Business,['Nora Roberts'],1986,70,3.87,"5,557"
"Taking Care of Business (Kate & Leah, #1)","['Megan Hart', 'Lauren Dane']",2008,7,3.67,"1,648"
"A Cold-Blooded Business (Kate Shugak, #4)",['Dana Stabenow'],1994,1,4.12,"3,441"
Love Is the Killer App: How to Win Business and Influence Friends,"['Tim Sanders', 'Gene  Stone']",2002,12,3.92,"3,228"
The Business Book: Big Ideas Simply Explained,['Sam Atkinson'],2014,15,4.21,707
"Theory of People: Understanding Behaviors, Business, Economics, Feelings, and the Mind",['Jakub Lasak'],0,3,4.17,124
Business Stripped Bare: Adventures of a Global Entrepreneur,['Richard Branson'],2008,36,3.83,"2,268"
Numbers Guide: The Essentials of Business Numeracy,['Richard Stutely'],1998,1,4.07,821
Makers and Takers: The Rise of Finance and the Fall of American Business,['Rana Foroohar'],2016,8,3.96,"1,083"
"Simple Numbers, Straight Talk, Big Profits!: 4 Keys to Unlock Your Business Potential","['Greg Crabtree', 'Beverly Blair Harzog']",2011,4,4.28,"1,338"
Negotiation,['Harvard Business School Press'],2003,9,3.93,368
"Batgirl, Volume 2: Family Business","['Cameron Stewart', 'Brenden Fletcher', 'Babs Tarr']",2016,4,3.65,"2,221"
The Partnership Charter: How To Start Out Right With Your New Business Partnership,['David Gage'],2004,9,3.96,"1,406"
Effective Business Communications,"['Herta A. Murphy', 'Herbert William Hildebrandt']",1980,2,4.07,364
IIM Ahmedabad Business Books: Day to Day Economics,['Satish Y. Deodhar'],2012,2,4.24,"1,948"
What the CEO Wants You to Know: Using Business Acumen to Understand How Your Company Really Works,['Ram Charan'],2001,8,3.90,"1,936"
A Feast of Vultures: The Hidden Business of Democracy in India,['Josy Joseph'],2016,2,4.29,"1,806"
Building Social Business: The New Kind of Capitalism That Serves Humanity's Most Pressing Needs,['Muhammad Yunus'],1997,9,3.96,"1,403"
"How to Work for Yourself: 100 Ways to Make the Time, Energy and Priorities to Start a Business, Book or Blog",['Bryan Cohen'],2013,2,3.39,"1,261"
"A Cutthroat Business (A Savannah Martin Mystery, #1)",['Jenna Bennett'],2010,15,3.74,"3,170"
The Happiness Industry: How the Government and Big Business Sold Us Well-Being,['William  Davies'],2015,19,3.66,849
Clinton Cash: The Untold Story of How and Why Foreign Governments and Businesses Helped Make Bill and Hillary Rich,['Peter Schweizer'],2015,13,4.00,"2,718"
"Leading with the Heart: Coach K's Successful Strategies for Basketball, Business, and Life","['Grant Hill', 'Donald T. Phillips', 'Mike Krzyzewski']",2000,13,4.17,"2,067"
HBR's 10 Must Reads on Managing Yourself,['Harvard Business School Press'],2010,18,4.03,"3,124"
Competition Demystified: A Radically Simplified Approach to Business Strategy,"['Bruce C.N. Greenwald', 'Judd Kahn']",2005,6,4.36,"1,157"
The Business of Fancydancing,['Sherman Alexie'],1991,3,4.18,"1,957"
Ahead of the Curve: Two Years at Harvard Business School,['Philip Delves Broughton'],2005,25,3.81,"3,409"
Will It Fly?: How to Test Your Next Business Idea So You Don't Waste Your Time and Money,['Pat   Flynn'],2016,6,4.08,"1,466"
Am I Being Too Subtle?: Straight Talk From a Business Rebel,['Sam Zell'],2017,5,4.21,"1,414"
Bankable Business Plans,"['Edward G. Rogoff', 'Jeff Bezos']",2003,10,3.97,"1,321"
"An Underground Education: The Unauthorized and Outrageous Supplement to Everything You Thought You Knew About Art, Sex, Business, Crime, Science, Medicine, and Other Fields of Human Knowledge",['Richard Zacks'],1997,7,4.06,"1,467"
Giants of Enterprise: Seven Business Innovators and the Empires They Built,['Richard S. Tedlow'],2001,10,4.06,548
HBR's 10 Must Reads on Making Smart Decisions,"['Harvard Business School Press', 'John S. Hammond', 'Ram Charan']",2013,1,3.80,307
"Do Cool Sh*t: Quit Your Day Job, Start Your Own Business, and Live Happily Ever After",['Miki Agrawal'],2013,4,3.38,"1,264"
Confessions of a Funeral Director: How the Business of Death Saved My Life,['Caleb Wilde'],2017,9,3.78,"1,526"
"Enough.: True Measures of Money, Business, and Life",['John C. Bogle'],2008,11,3.68,"1,474"
Go It Alone!: The Secret to Building a Successful Business on Your Own,['Bruce Judson'],2004,1,3.93,978
The End of Fashion: How Marketing Changed the Clothing Business Forever,['Teri Agins'],1999,5,3.87,836
HBR Guide to Project Management,['Harvard Business School Press'],2011,11,3.76,429
Trailblazer: The Power of Business as the Greatest Platform for Change,"['Marc Benioff', 'Monica Langley']",2019,10,3.91,"1,119"
Alibaba's World: How a Remarkable Chinese Company is Changing the Face of Global Business,['Porter Erisman'],2015,26,3.89,"1,681"
HBR's 10 Must Reads on Strategic Marketing,['Harvard Business Review'],2013,11,4.03,380
Cambridge International AS and A Level Business Studies Coursebook with CD-ROM,"['Peter Stimpson', 'Alastair Farquharson']",2010,3,4.27,341
Screw Business As Usual,['Richard Branson'],2011,22,3.66,"1,399"
Content Inc.: How Entrepreneurs Use Content to Build Massive Audiences and Create Radically Successful Businesses,['Joe Pulizzi'],2015,7,3.98,884
The Great Game of Business: Unlocking the Power and Profitability of Open-Book Management,"['Jack Stack', 'Bo Burlingham']",1992,16,4.02,"1,505"
Getting to Plan B: Breaking Through to a Better Business Model,['John W. Mullins'],2009,9,4.02,815
Business Boutique: A Woman's Guide for Making Money Doing What She Loves,"['Christy Wright', 'Dave Ramsey']",2017,5,4.39,998
Growing a Business,['Paul Hawken'],1987,8,4.07,"1,105"
Harvard Business Review on Managing Yourself,['Harvard Business Review'],2005,1,3.84,196
"A Theory of Everything: An Integral Vision for Business, Politics, Science & Spirituality",['Ken Wilber'],1996,22,3.98,"1,299"
Business Sutra: A Very Indian Approach to Management,['Devdutt Pattanaik'],2013,4,4.05,956
"Flower Confidential: The Good, the Bad, and the Beautiful in the Business of Flowers",['Amy  Stewart'],2007,9,3.96,"1,199"
"The Revolution Business (The Merchant Princes, #5)",['Charles Stross'],2009,7,3.62,"2,272"
Six Pixels of Separation: Everyone Is Connected. Connect Your Business to Everyone.,['Mitch Joel'],2009,15,3.83,"1,344"
"Power Play (Risky Business, #1)",['Tiffany Snow'],2015,13,4.08,"1,779"
The Influence of Military Strategies to Business,['M.D. White'],0,3,4.08,498
"Broke, USA: From Pawnshops to Poverty, Inc. - How the Working Poor Became Big Business",['Gary Rivlin'],2010,6,3.71,899
"Playing Dirty (Monkey Business Trio, #1)",['C.L. Parker'],2015,10,3.83,932
"Lead with a Story: A Guide to Crafting Business Narratives That Captivate, Convince, and Inspire",['Paul                   Smith'],2012,10,3.81,"1,071"
"Works Well with Others: An Outsider's Guide to Shaking Hands, Shutting Up, Handling Jerks, and Other Crucial Skills in Business That No One Ever Teaches You",['Ross McCammon'],2015,10,3.38,"1,212"
The Business,['Martina Cole'],2008,21,3.89,"1,988"
Sex Trafficking: Inside the Business of Modern Slavery,['Siddharth Kara'],2008,9,4.21,678
Unfinished Business (Madaris Family Saga #13),['Brenda Jackson'],2005,8,4.56,"1,519"
"Shark Tales: How I Turned $1,000 into a Billion Dollar Business","['Barbara  Corcoran', 'Bruce  Littlefield']",2001,6,4.11,"1,088"
"George Washington, Entrepreneur: How Our Founding Father's Private Business Pursuits Changed America and the World",['John Berlau'],2020,5,3.60,55
"Creative, Inc.: The Ultimate Guide to Running a Successful Freelance Business","['Meg Mateo Ilasco', 'Joy Deangdeelert Cho']",2010,2,3.83,904
Arthur's Pet Business (Arthur Adventure Series),['Marc Brown'],1990,19,4.19,"2,220"
"Virtual Freedom: How to Work with Virtual Staff to Buy More Time, Become More Productive, and Build Your Dream Business",['Chris C. Ducker'],2014,7,3.91,791
All You Need to Know about the Music Business,"['Donald S. Passman', 'Randy Glass']",1991,34,4.23,"1,634"
The Mesh: Why the Future of Business Is Sharing,['Lisa Gansky'],2010,12,3.67,"1,108"
"Stories That Stick: How Storytelling Can Captivate Customers, Influence Audiences, and Transform Your Business",['Kindra Hall'],0,8,4.43,830
Managing Oneself,['Peter F. Drucker'],2007,12,4.09,"8,950"
HBR's Must Reads Boxed Set (6 Books) (HBR's 10 Must Reads),['Harvard Business School Press'],2011,2,4.42,279
"Good Business: Leadership, Flow, and the Making of Meaning",['Mihaly Csikszentmihalyi'],2003,21,3.91,852
"Business as Usual (Off the Subject, #3)",['Denise Grover Swank'],2014,5,3.98,"2,213"
"Just Business (Takeover, #2)",['Anna Zabo'],2015,9,4.09,"1,753"
The Intelligent Entrepreneur: How Three Harvard Business School Graduates Learned the 10 Rules of Successful Entrepreneurship,['Bill Murphy Jr.'],2010,15,4.02,938
"Bitsy's Bait & BBQ (That Business Between Us, #2)",['Pamela Morsi'],2007,17,3.68,"1,582"
"The 100 Best Business Books of All Time: What They Say, Why They Matter, and How They Can Help You","['Jack Covert', 'Todd Sattersten']",2009,3,4.04,"1,053"
HBR Guide to Getting the Right Work Done,['Harvard Business School Press'],2010,15,3.93,498
Swipe to Unlock: The Primer on Technology and Business Strategy,"['Parth Detroja', 'Neel Mehta', 'Aditya Agashe']",2017,4,4.32,"1,450"
The Automatic Customer: Creating a Subscription Business in Any Industry,['John Warrillow'],2016,14,4.11,"1,112"
New Sales. Simplified.: The Essential Handbook for Prospecting and New Business Development,['Mike Weinberg'],2012,12,4.35,"1,432"
She Means Business: Turn Your Ideas into Reality and Become a Wildly Successful Entrepreneur,['Carrie Green'],2017,4,4.21,"1,074"
"Up, Up, and Away: The Kid, the Hawk, Rock, Vladi, Pedro, le Grand Orange, Youppi!, the Crazy Business of Baseball, and the Ill-fated but Unforgettable Montreal Expos",['Jonah Keri'],2014,1,4.19,"1,698"
Rocket Fuel: The One Essential Combination That Will Get You More of What You Want from Your Business,"['Gino Wickman', 'Mark C. Winters']",2015,6,4.10,"1,039"
Think Like a Champion: An Informal Education in Business and Life,"['Donald J. Trump', 'Meredith McIver']",2009,30,3.80,"1,236"
The Tao of Warren Buffett: Warren Buffett's Words of Wisdom - Quotations and Interpretations to Help Guide You to Billionaire Wealth and Enlightened Business Management,"['Mary Buffett', 'David Clark']",2006,1,3.79,"1,415"
Witchy Business (Witches of Shadow Lane #1),['Misty Bane'],0,2,4.41,837
HBR Guide to Managing Up and Across (HBR Guide Series),['Harvard Business School Press'],2013,11,3.75,448
"Public Parts: How Sharing in the Digital Age is Revolutionizing Life, Business, and Society",['Jeff Jarvis'],2011,17,3.77,"1,294"
Your Move: The Underdog's Guide to Building Your Business,['Ramit Sethi'],0,2,4.00,771
The Family Business 3: The Return of Vegas,"['Carl Weber', 'Treasure Hernandez']",2014,7,4.50,"1,536"
Frank Wood's Business Accounting 1,['Frank Wood'],1996,15,4.01,373
"Power Questions - Build Relationships, Win New Business and Influence Others","['Andrew C. Sobel', 'Jerold Panas']",2012,17,3.83,"1,111"
"The Toilet Paper Entrepreneur: The Tell-It-Like-It-Is Guide to Cleaning Up in Business, Even If You Are at the End of Your Roll",['Mike Michalowicz'],2008,14,3.86,"1,662"
"The Boyfriend Effect (Frisky Business, Book 1)",['Kendall Ryan'],0,3,4.20,5
"Women, Work & the Art of Savoir Faire: Business Sense & Sensibility",['Mireille Guiliano'],2009,18,3.58,"1,256"
"Deadpool, Volume 4: Monkey Business","['Daniel Way', 'Paco Medina', 'Tan Eng Huat']",2010,6,4.27,"1,743"
"Dying Is My Business (Trent, #1)",['Nicholas Kaufmann'],2013,3,3.62,648
"You Win in the Locker Room First: The 7 C's to Build a Winning Team in Business, Sports, and Life","['Jon Gordon', 'Mike Smith']",2015,8,4.17,"1,075"
Oversubscribed: How to Get People Lining Up to Do Business with You,['Daniel Priestley'],2015,10,4.19,814
Ctrl Alt Delete: Reboot Your Business. Reboot Your Life. Your Future Depends on It.,['Mitch Joel'],2013,10,3.96,571
The Power of Nice: How to Conquer the Business World With Kindness,"['Linda Kaplan Thaler', 'Robin Koval']",2006,18,3.72,"1,117"
"Feck Perfuction: Dangerous Ideas on the Business of Life (Business Books, Graphic Design Books, Books on Success)",['James Victore'],0,4,4.12,684
Rock Your Network Marketing Business: How to Become a Network Marketing Rock Star,['Sarah Robbins'],2013,2,4.07,"1,143"
The Diamond Cutter: The Buddha on Managing Your Business and Your Life,['Michael Roach'],2000,26,4.09,"1,401"
Team Topologies: Organizing Business and Technology Teams for Fast Flow,"['Matthew    Skelton', 'Manuel Pais']",2019,6,4.30,600
Unfinished Business: Notes of a Chronic Re-Reader,['Vivian Gornick'],2020,11,3.62,241
The Miracle Morning for Network Marketers: Grow Yourself First to Grow Your Business Fast,"['Hal Elrod', 'Pat Petrini', 'Honoree Corder']",0,5,4.34,641
